Title,Release Date,Genres,Overview,Original Language,Vote Average,Vote Count,Popularity,TMDB ID
Escape Room,1/3/2019,"Horror, Thriller, Mystery",stranger find circumstance control use wit survive,en,6.546,4815,5.2252,522681
Leroy & Stitch,6/23/2006,"Animation, Comedy, Family",lilo stitch jumbo leakey finally catch jumbo genetic experiment find true place belong stitch jumbo leakey offer position galactic alliance turn stay earth lilo lilo realize alien friend place belong finally time aloha,en,6.546,567,5.7908,21316
The People Under the Stairs,11/1/1991,"Horror, Comedy, Mystery, Thriller",trap inside fortified home own mysterious couple young boy quickly learn true nature homicidal inhabitant secret creature hide deep wall,en,6.5,687,1.4958,13122
Bad Santa,11/26/2003,"Drama, Comedy, Crime",well watch santa claus willie soke come town care naughty nice will favourite holiday tradition fill sack loot lift shopping mall country year plot get derail wisecracking store detective sexy bartender kid convince willie real santa claus,en,6.548,2217,2.5232,10147
Flyboys,9/22/2006,"Action, Adventure, Drama, History, Romance, War",adventure lafayette espadrille young americans volunteer french military enter world war country fighter pilot,en,6.546,814,1.3978,9664
Hot Shots! Part Deux,5/21/1993,"Action, Comedy, War",topper harley find work doorman monastery want lead rescue mission iraq rescue rescue team go rescue rescue team go rescue hostage leave desert storm,en,6.5,1921,2.4598,9255
MouseHunt,12/19/1997,"Comedy, Family",luck brother lars ernie stunt agent happy crumble old mansion inherit discover estate worth million cash rid house single stubborn occupant tiny tenacious mouse,en,6.546,1282,2.3412,6283
A Perfect Murder,6/5/1998,"Crime, Thriller, Drama",millionaire industrialist steven taylor man crave love fidelity wife hugely successful player new york financial world consider treasured acquisition need simply role dazzle accessory,en,6.546,1447,3.6319,1965
Wolfs,9/20/2024,"Crime, Comedy, Action",hire cover high profile crime fixer soon find night spiral control s force work unexpected counterpart,en,6.545,1167,7.9757,877817
Who You Think I Am,2/27/2019,"Drama, Romance",claire year old divorce teacher create fake facebook profile year old woman catfish alex roommate lover ludo,fr,6.545,334,1.0323,544404
The Whole Truth,3/25/2016,"Drama, Thriller",defense attorney work teenage client acquit murder wealthy father,en,6.545,1216,1.9,331583
The Homesman,5/18/2014,"Western, Drama",woman live edge american frontier drive mad harsh pioneer life task save fall pious independent minded mary bee cuddy transport woman cover wagon iowa soon realize daunting journey employ lowlife drifter george briggs join unlikely pair woman head east waiting minister wife offer woman group traverse harsh nebraska territory mark stark beauty psychological peril constant threat,en,6.5,823,2.05,264656
Wish I Was Here,7/18/2014,"Drama, Comedy",aida bloom struggle actor father husband year old try find purpose life wife barely get financially aida pass time fantasize great futuristic space night dream little kid ail father long afford pay private school kid available public school leg aida reluctantly agree attempt homeschool teach life way aida gradually discover part find,en,6.545,743,0.9316,231576
Super Troopers,2/15/2001,"Comedy, Crime, Mystery",bored occasionally high ineffective vermont state trooper prove worth governor lose job stumble drug ring plan bust rival police force steal glory,en,6.545,1149,1.2475,39939
I Don't Feel at Home in This World Anymore,1/19/2017,"Thriller, Drama, Crime, Comedy",depressed woman burglarize find new sense purpose track thief alongside obnoxious neighbour soon find dangerously depth pack degenerate criminal,en,6.5,1330,0.9384,425591
You Were Never Really Here,11/8/2017,"Crime, Drama, Thriller",traumatize veteran unafraid violence track miss girl living job spin control nightmare begin overtake conspiracy uncover lead death trip awakening,en,6.5,2885,1.9671,398181
Cinderella III: A Twist in Time,2/6/2007,"Animation, Romance, Family, Fantasy",lady remain steal fairy godmother wand change history cinderella restore timeline reclaim prince,en,6.544,1292,3.053,16119
The Great Raid,8/12/2005,"Action, History, War",world war ii rage elite sixth ranger battalion give mission heroic proportion push mile enemy line liberate american prisoner war,en,6.544,351,1.7749,13922
Calendar Girls,9/2/2003,"Drama, Comedy",member yorkshire branch women institute cause controversy pose nude charity calendar,en,6.544,388,1.0935,8696
The Day After Tomorrow,5/26/2004,"Action, Adventure, Science Fiction, Thriller",pale climatologist jack hall largely ignore official present environmental concern beginning new ice age research prove true superstore develop set catastrophic natural disaster world try son sam trap new york city friend laura jack crew travel sam late,en,6.544,8398,5.629,435
Indiana Jones and the Dial of Destiny,6/25/2023,"Adventure, Action",find new era approach retirement indy wrestle fitting world outgrow tentacle alto familiar evil return form old rival indy don hat pick whip sure ancient powerful artefact fall wrong hand,en,6.545,3731,9.2574,335977
Cold in July,5/23/2014,"Drama, Thriller",investigate noise house balmy texas night richard dane put bullet brain lowlife burglar hail small hero dane soon find fear family safety freddy econ father roll town hellbent revenge,en,6.543,764,1.8808,244509
DragonHeart,5/31/1996,"Fantasy, Action, Adventure, Drama",ancient time majestic fire breather soar sky knight name bowen come face face heart heart dragon earth draco take arm suppress tyrant king bowen soon realize task hard imagine kill king draco die,en,6.5,2022,2.2128,8840
The Witches of Eastwick,6/12/1987,"Comedy, Fantasy, Horror",single woman picturesque rhode island village wish grant cost mysterious flamboyant man arrive life,en,6.5,1454,2.293,6069
The Hobbit,11/27/1977,"Family, Fantasy, Animation, Adventure, TV Movie",bilbo bag hobbit mind business occasional visitor gandalf wizard drop night group wave drop know bilbo join quest reclaim kingdom take evil dragon smug problem gandalf tell wave bilbo expert burglar int,en,6.5,336,1.5858,1362
The Running Man,11/13/1987,"Action, Science Fiction, Thriller",global economy collapse society totalitarian police state censor cultural activity government pacifi populace broadcast number game show convict criminal fight life include gladiator style run man host ruthless damon lillian runner attempt evade stalker certain death chance pardon set free,en,6.5,2500,4.5374,865
The Water Horse,12/25/2007,"Family, Adventure, Fantasy",lonely boy discover mysterious egg hatch sea creature scottish legend,en,6.542,1082,2.5962,54318
Blind Fury,8/17/1989,"Action, Thriller",blind vietnam vet train sword fighter come america help rescue son fellow soldier,en,6.542,472,1.7713,19124
Bubba Ho-tep,6/9/2002,"Comedy, Horror, Thriller, Mystery, Fantasy",bubba hotel tell true story elvis presley find elvis elderly resident east texas rest home switch identity elvis impersonator year death miss chance switch team fight ancient egyptian mummy soul fellow resident,en,6.5,641,0.9607,9707
Saving Grace,1/24/2000,"Crime, Comedy",unexpectedly widow prim proper housewife grace tooth find dire financial strait inherit massive debt late husband accruing year face lose house decide use talent horticulture hatch plan grow potent marijuana sell astronomical price solve financial crisis,en,6.542,421,0.8886,2360
Beast,4/18/2018,"Mystery, Crime, Drama",troubled woman live isolated community find pull control oppressive family allure secretive outsider suspect series brutal murder,en,6.541,307,1.3662,470918
Mr. Turner,10/31/2014,"History, Drama",eccentric british painter jew turner live year gusto secretly involved seaside landlady faithful housekeeper bear unrequited love,en,6.5,534,1.13,245700
Charlie Wilson's War,12/19/2007,"Comedy, Drama, History",rep charlie wilson texas socialite joanne herring agent gust air photo form unlikely alliance boost funding afghan freedom fighter war invade soviet trio successful effort finance covert operation contribute fall soviet union end cold war,en,6.541,1551,2.2935,6538
Lost Bullet 2,11/10/2022,"Action, Crime, Thriller",have clear genius mechanic lino goal mind get revenge corrupt cop kill brother mentor,fr,6.54,437,2.7917,948276
Jurassic World: Fallen Kingdom,6/6/2018,"Action, Adventure, Science Fiction, Thriller",year jurassic world destroy islam nub lar sit abandon island dormant volcano begin roar life owen claire mount campaign rescue remain dinosaur extinction level event,en,6.54,12209,27.3075,351286
Inherent Vice,12/12/2014,"Drama, Mystery, Comedy",los angeles turn drug fuel detective larry doc sport hello investigate disappearance girlfriend,en,6.5,2558,3.9981,171274
Harold & Kumar Go to White Castle,7/2/2004,"Comedy, Adventure",nerdy accountant harold irrepressible friend human stone watch television find utterly bewitch commercial white castle convince nearby set late night odyssey take deep new jersey boy manage run afoul redneck cop car steal neil patrick harris get near beloved slider,en,6.54,2130,2.9107,11282
Grandma's Boy,1/6/2006,Comedy,s alex act like s spend day world old video game tester evening develop big box game get kick apartment s force grandmother,en,6.533,691,3.826,9900
Phantasm,3/28/1979,"Horror, Science Fiction",teenage boy friend face mysterious grave robber know tall man employ lethal arsenal unearthly weapon,en,6.5,719,1.276,9638
Slither,3/31/2006,"Horror, Science Fiction, Comedy",small town take alien plague turn resident zombie form mutant monster,en,6.5,1607,2.1222,9035
Bridget Jones: Mad About the Boy,2/12/2025,"Romance, Comedy, Drama",bridget jones navigate life widow single mum help family friend lover daniel work app s pursue young man maybe maybe son science teacher,en,6.526,363,10.9317,1272149
EO,9/30/2022,"Drama, Adventure",world mysterious place see eye animal grey donkey melancholic eye meet good bad people lifer path experience joy pain endure wheel fortune randomly turn luck disaster despair unexpected bliss moment lose innocence,pl,6.539,355,0.9037,785398
Looking for Eric,5/27/2009,"Drama, Comedy",man try life track get advice unexpected benefactor footballer eric canton,en,6.539,350,0.9242,18898
The Nutty Professor,6/4/1963,"Comedy, Science Fiction, Romance",timid nearsighted chemistry teacher discover magical potion transform suave handsome romeo jekyll hyde game work concoction start wear embarrassing time,en,6.5,433,1.5051,18331
Awake,11/28/2007,"Thriller, Crime, Mystery",undergo heart surgery man experience phenomenon call aesthetic awareness leave awake paralyse operation obstacle present wife life alter decision wrestle personal drama,en,6.5,1407,3.1661,13483
The Tearsmith,4/3/2024,"Romance, Drama",adopt tough childhood orphanage nice rigel realize unexpected irresistible feeling pull,it,6.531,888,11.451,1127166
A Good Doctor,12/11/2019,Comedy,christmas eve serge emergency doctor available strike crippling backache get help pizza delivery boy need step doctor shoe,fr,6.538,320,0.6022,613349
Sputnik,7/24/2020,"Science Fiction, Drama, Horror",height cold war soviet spacecraft crash land mission go awry leave commander survivor renowned russian psychologist bring evaluate commander mental state clear dangerous come earth,ru,6.5,905,1.6965,594718
Shaft,6/14/2019,"Action, Crime, Comedy, Mystery",aka john shaft caber security expert degree uncover truth good friend untimely death need education dad provide absent job youth legendary lockean loaded john shaft agree help progeny navigate harlem heroin infest underbelly,en,6.538,1768,2.954,486131
2 Guns,8/2/2013,"Action, Comedy, Crime",de agent undercover naval intelligence officer task investigate find set mob organization man believe steal money,en,6.538,4255,4.6371,136400
True Crime,3/19/1999,"Drama, Crime, Thriller, Mystery",boozer skirt chaser careless father create list reporter steve everett fault time san quentin death row prisoner slate die midnight man everett suddenly realize innocent,en,6.538,790,1.7313,10354
The Chronicles of Riddick,6/11/2004,"Action, Science Fiction",year outrun ruthless bounty hunter escape convict rid dick suddenly find catch oppose force fight future human race wage incredible battle fantastic deadly world lone reluctant hero emerge humanity champion hope universe edge annihilation,en,6.5,4228,2.2893,2789
Red Sparrow,2/15/2018,"Thriller, Mystery",prime ballerina dominica ego ova face bleak uncertain future suffer injury end career soon turn sparrow school secret intelligence service train exceptional young people use mind body weapon dominica emerge dangerous sparrow complete sadistic training process come term new ability meet agent try convince person trust,en,6.537,6126,4.2208,401981
Thank You for Your Service,10/26/2017,"Drama, War",group soldier return iraq struggle integrate family civilian life live memory war threaten destroy long leave battlefield,en,6.537,389,1.7731,347629
Super,11/26/2010,"Comedy, Action, Drama",wife fall influence drug dealer everyday guy transform crimson bolt superhero good intention lack heroic skill,en,6.537,1636,2.0311,45132
Ghost Town,9/19/2008,"Drama, Comedy, Fantasy",bertram pincus cranky people hate manhattan dentist develop unwelcome ability dead people annoy dead people bad want particularly frank healthy smooth talk ghost poster romantic scheme involve widow gwen soon entangle hilarious predicament,en,6.537,1000,1.7279,12797
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,8/6/1972,Comedy,collection seven vignette address question concern human sexuality aphrodisiacs sexual perversion mystery male orgasm character like court jester doctor queen journalist adventure lab experiment game show seek answer common question ask,en,6.537,952,1.4152,11624
I'm Not There,10/1/2007,"Drama, Music",actor portray persona music legend bob dylan scene depict stage life chronicle rise unknown folksinger international icon reveal dylan constantly reinvent,en,6.537,736,1.3579,3902
Paranoid Park,7/12/2007,"Drama, Crime, Mystery",teenage skateboarder suspect connect security guard suffer brutal death skate park call paranoid park,en,6.537,561,0.7659,1990
Miss Congeniality,12/22/2000,"Comedy, Crime, Action",local fri office receive letter terrorist know citizen quickly determined s plan act miss america beauty pageant tough snail gracie hart female agent office s choose undercover contestant new jersey,en,6.536,4029,5.4959,1493
Epic,5/15/2013,"Animation, Adventure, Family, Fantasy",teenager find transport deep forest setting battle force good force evil take place band ragtag group character order save world,en,6.5,2818,4.6652,116711
Underworld: Rise of the Lycans,1/22/2009,"Fantasy, Action, Thriller",prequel underworld film fantasy explain origin feud vampire loan aid secret love sonja courageous lucian lead loan battle brutal vampire king victor determine break king enslavement people lucian face death dealer army bid lyman independence,en,6.536,3765,4.6492,12437
The Limey,10/8/1999,"Crime, Drama, Thriller, Mystery",limey follow wilson tough english econ travel los angeles avenge daughter death arrival wilson go task battle valentine army las tough criminal hope find clue piece happen survive near death beat get throw building chase dangerous mountain road englishman decide dole bodily harm,en,6.5,458,1.5417,10388
The Quiet American,11/22/2002,"Romance, Thriller, Drama, War",cynical british journalist fowler fall love young vietnamese woman dismay naive official begin vie attention retaliation fowler inform communist american sell arm enemy,en,6.536,306,1.0606,8198
For Your Eyes Only,6/24/1981,"Adventure, Action, Thriller",british spy ship sink board hitch encryption device james bond send find device hold british launch instruction enemy soviet,en,6.536,1929,5.2017,699
Everybody Knows,5/9/2018,"Crime, Mystery, Thriller",laura spanish woman live bueno aire return hometown outside madrid argentinian husband child trip upset unexpected event bring secret open,es,6.535,999,1.2355,401545
Dragonfly,2/22/2002,"Thriller, Fantasy, Mystery, Horror, Romance, Drama",grieve doctor contact late wife patient near death experience,en,6.535,883,1.4389,10052
Asterix vs. Caesar,3/6/1985,"Comedy, Animation, Family, Adventure",felix fall new arrival home village gaul heartbroken true love arrive visit lover kidnap romans asterisk felix set rescue dangerous journey involve gladiator slaver beauty crazy personal encounter emperor julius caesar,fr,6.5,608,1.3345,8868
Luckiest Girl Alive,9/30/2022,"Drama, Thriller, Mystery",successful woman new york city find life upend force confront dark truth threaten unravel meticulously craft life,en,6.534,868,1.4894,799546
Lou,9/23/2022,"Action, Thriller",young girl kidnap powerful storm mother join force mysterious neighbour set pursuit kidnapper journey test limit expose dark secret past,en,6.534,696,1.9466,429473
Gantz,11/29/2010,"Horror, Action, Science Fiction",try rescue man subway track teen wake room dominate mysterious black sphere send hunt kill alien hide earth,ja,6.5,312,2.1637,56832
Men in Black 3,5/23/2012,"Action, Comedy, Science Fiction",agent back time see inexplicable thing year man black alien perplex wry reticent partner life fate planet stake agent travel time thing right discover secret universe tell secret reveal team young agent save partner agency future humankind,en,6.534,10549,5.9501,41154
Bambi II,1/26/2006,"Animation, Drama, Family",return forest join bambi reunite father great prince raise young fawn adventure lifetime proud parent discover learn spirited young son,en,6.5,1018,2.2851,13205
The Return of the Tall Blond Man with One Black Shoe,11/12/1974,Comedy,little captain cambrai raise doubt reality call super spy colonel toulouse kidnap christine force francois play character tall blond man black shoe fake adventure stop investigation death colonel milan,fr,6.534,327,0.7283,10939
Rambo: Last Blood,9/18/2019,"Action, Thriller, Drama",fight demon decade john rambo live peace family ranch arizona rest interrupt gabriela granddaughter housekeeper maria disappear cross border mexico meet biological father rambo true father figure gabriela year undertake desperate dangerous journey find,en,6.5,4018,6.2327,522938
The Mermaid,2/8/2016,"Comedy, Fantasy, Romance",playboy business tycoon lib juan purchase green gulf wildlife reserve sea reclamation project use sonar technology rid sea life area unknown green gulf home people sonar cause succumb illness die mean business venture area threaten cross path mermaid shan send avenge people,zh,6.533,448,3.1107,381890
Tales from Earthsea,7/29/2006,"Animation, Fantasy, Adventure",bizarre come land kingdom deteriorate people begin act strange s strange people begin dragon enter world human bizarre event wandering wizard investigate cause journey meet prince warren young distraught teenage boy warren look like shy young teen severe dark grant strength hatred ruthlessness mercy especially come protect term witch sumo perfect opportunity use boy fear help,ja,6.5,1378,2.565,37933
The Man Without a Face,8/25/1993,Drama,justin mcleod teacher live recluse edge town face disfigure automobile accident year early boy incinerate convict involuntary manslaughter suspect paedophile befriend chuck cause town suspicion hostility ignite,en,6.533,524,0.8684,10502
Cry-Baby,4/6/1990,"Comedy, Romance",prim proper schoolgirl go society grandmother wish date motorcycle ride juvenile delinquent,en,6.533,1521,2.2232,9768
The American President,11/17/1995,"Comedy, Drama, Romance",widow president andrew shepherd world powerful man want covet sydney ellen wade washington lobbyist shepherd attempt court spark wild rumour decimate approval rating,en,6.533,741,1.7304,9087
Escape Room: Tournament of Champions,7/1/2021,"Horror, Thriller, Mystery",people unwittingly find lock series escape room slowly uncover common survive discover play game,en,6.5,2125,3.5268,585216
Frequencies,7/24/2013,"Romance, Science Fiction, Mystery",story forbid relationship low bear boy high bear girl alternate reality person relationship life worth determine innate frequency,en,6.532,412,0.8769,218425
Ramona and Beezus,7/23/2010,"Comedy, Family",ramona little girl big imagination nose mischief playful antic love family toe include old sister bee try survive year high school up down childhood ramona bee learn anything possible believe rely,en,6.532,763,1.2778,38843
Just Wright,5/14/2010,"Romance, Comedy",physical therapist leslie wright land dream job work basketball superstar scott mcknight help recover career threaten injury go soon leslie find fall love friendship deepen scott focus attention tenuous relationship exit morgan leslie gorgeous sister love basketball player trophy wife,en,6.532,437,1.171,38093
What a Beautiful Day,1/5/2011,Comedy,che co uneducated self satisfied fellow milan dream police officer fail entrance exam time say oral examination che co say reason want join police benefit kind cronyism young man connection soon find security agent milan cathedral course bumble idiot prove live catastrophe spot suffer arab terrorist prepare attack cathedral che co appear perfect sucker manipulate send charming sister sarah mission seduce,it,6.531,1509,0.3542,53319
Boundin',11/4/2003,"Animation, Family, Music, Comedy",high mountain plain live lamb wool remarkable sheen break high stepping dance come day lose lustrous coat pride take wise jack lope horn adorn rabbit teach moping lamb wool s inside help rebound life trouble,en,6.531,569,0.9392,13062
Freaky Friday,8/5/2003,"Family, Fantasy, Comedy",mother daughter bicker anna wear like want s old turn anna detest test fiance magical fortune cookie switch personality peek person feel think life,en,6.531,3919,10.9568,10330
Mistress America,8/14/2015,Comedy,college freshman lola kirk cure disappointment loneliness allow pull wacky scheme future stepsister greta ger wig,en,6.53,552,0.9296,309245
Penguins of Madagascar,11/22/2014,"Family, Animation, Adventure, Comedy",skipper iowa ski rico private join force undercover organization north wind stop villainous octavius brine destroy world know,en,6.5,4284,8.6661,270946
Undisputed,7/17/2002,"Action, Drama, Crime",monroe hutch heavyweight champion sweet water maximum security prison convict life sentence passionate crime iceman chambers heavyweight champion lose title rape conviction year sweet water giant collide prison fight disputing real champion,en,6.5,760,4.8235,15070
Bolt,11/21/2008,"Animation, Family, Adventure, Comedy",bolt star big hollywood problem think real s accidentally ship new york city separate penny beloved costar owner bolt harness super power find way home,en,6.5,6233,5.3944,13053
The Ref,3/9/1994,"Comedy, Crime, Drama",cat burglar force bickering dysfunctional family hostage christmas eve,en,6.53,346,1.0004,10872
Jarhead: Law of Return,10/1/2019,War,major roman jackson accomplished fighter pilot israel defense force son senator shoot fly syrian airspace miraculously survive crash jackson take captive group hezbollah militiamen squad elite soldier lead gunnery sergeant dave torre risk life hope save ally meet,en,6.529,3349,1.7786,635744
Silent Movie,6/17/1976,Comedy,aspire filmmaker mel fun marty egg dom bell financially troubled studio idea silent movie effort movie marketable attempt recruit number big star appear studio creditor attempt thwart,en,6.529,308,0.9825,10970
Mr. Nice Guy,1/31/1997,"Crime, Action, Comedy",chinese chef accidentally get involve news reporter film drug bust go awry chase gang try video tape,cn,6.5,696,2.4136,10622
Save the Last Dance,1/12/2001,"Drama, Family, Romance, Music",death mother sara move south chicago live father get transfer majority black school life take turn well befriend chenille brother derek help dancing skill,en,6.5,1297,2.0076,9816
Apt Pupil,10/23/1998,"Drama, Thriller",day todd bowen brilliant high school boy fascinate history nazism stumble old man appearance resemble kurt sander want nazi war criminal month later todd decide knock door,en,6.529,671,2.0986,9445
Falling Inn Love,8/29/2019,"Romance, Comedy",san francisco exec win new zealand inn ditch city life remodel flip rustic property help handsome contractor,en,6.5,1165,1.7408,623195
Radius,7/17/2017,"Thriller, Drama, Horror",liam wake car crash memory make way town look help find dead body strange pale eye liam assessment virus present air soon discover horrible truth come foot radius die instantly,en,6.5,686,2.0258,436274
Irrational Man,7/17/2015,"Drama, Comedy",small town college campus philosophy professor existential crisis give life new purpose enter relationship student,en,6.5,2412,1.3788,282984
Time Lapse,5/24/2014,"Thriller, Science Fiction, Mystery, Horror",friend discover mysterious machine take picture hour future conspire use personal gain disturbing dangerous image begin develop,en,6.5,1286,1.2305,273271
The Living Daylights,6/29/1987,"Action, Adventure, Thriller",defect russian general reveal plot assassinate foreign spy james bond assign secret mission dispatch new head kab prevent escalation tension soviet union west,en,6.528,1863,4.4352,708
Kraven the Hunter,12/11/2024,"Action, Adventure, Thriller",raven ravin off complex relationship ruthless gangster father nikolai start path vengeance brutal consequence motivate great hunter world fear,en,6.527,1885,30.5688,539972
Alpha,8/17/2018,"Adventure, Drama",prehistoric past kea young inexperienced hunter struggle return home separate tribe bison hunting go awry way find unexpected ally,en,6.5,2616,3.8405,399360
Hippocrates,9/3/2014,"Comedy, Drama",benjamin mean great doctor certain experience junior doctor hospital ward father work turn way hope responsibility overwhelm father present co junior partner foreign doctor far experimented internship force benjamin confront limit start way adulthood,fr,6.527,486,0.4963,271724
RED 2,7/18/2013,"Action, Comedy, Crime, Thriller",retire agent frank moses reunite unlikely team elite operative global quest track miss portable nuclear device,en,6.527,4134,6.7822,146216
It's a Boy Girl Thing,7/15/2006,"Comedy, Fantasy, Romance",visit natural history museum prove catastrophic high school rival overachiever jock ancient aztec statue cast spell cause switch body exactly like walk shoe,en,6.526,1057,2.1237,37725
The Informer,8/30/2019,"Drama, Crime, Thriller",new york convict pete kos low relate polish mafia deal lime general ruthless boss twisted ambition federal agent try survive protect life love one,en,6.5,883,2.0633,466081
Killer Joe,6/7/2012,"Crime, Thriller, Drama",cop moonlight hit man agree kill hate mother desperate drug dealer exchange tumble young mans virginal sister,en,6.526,1479,1.2314,73567
Halloweentown High,10/8/2004,"Adventure, Comedy, Family, Fantasy, TV Movie",marine piper prepare begin new school year ask halloween hot witch council work openness halloween mortal world propose bring group halloween student high school mortal world,en,6.526,308,0.8507,34560
Altered Carbon: Resleeved,3/19/2020,"Animation, Science Fiction",planet latimer take oval protect tattooist investigate death yakima boss alongside nonsense,ja,6.5,301,1.0398,665251
Spenser Confidential,3/6/2020,"Comedy, Action, Thriller",spenser boston patrolman get prison team hawk aspire fighter unravel truth death police officer,en,6.5,2377,3.4428,581600
The Lego Ninjago Movie,9/21/2017,"Family, Comedy, Adventure, Animation",young ninjas task defend island home ninja night gifted warrior skill awesome fleet vehicle fight villain monster day ordinary teen struggle great enemy high school,en,6.525,1111,3.7256,274862
Subway,4/10/1985,"Action, Thriller",fre raffish safe blower take refuge paris metro chase henchman shady businessman steal document hide room conduit metro fred encounter subterranean society eccentric character petty criminal,fr,6.525,476,1.3744,10656
The Fast and the Furious: Tokyo Drift,6/3/2006,"Action, Crime, Drama, Thriller",order avoid jail sentence sean boswell head tokyo live military father low rent section city shaun get catch underground world drift racing,en,6.525,7181,2.9203,9615
Tulip Fever,7/13/2017,"Drama, Romance",artist fall married young woman s commission paint portrait invest risky tulip market hope build future,en,6.524,715,1.769,257785
Dead Snow 2: Red vs. Dead,2/12/2014,"Horror, Action, Comedy",gruesome nazi zombie finish mission hero willing die gather army final fight,no,6.5,651,1.1936,241842
Act of Valor,2/24/2012,"Action, Thriller, War",covert mission rescue kidnap operative uncover chilling plot elite highly train seal team speed hotshot globe race clock stop deadly terrorist attack,en,6.524,1174,2.0911,75674
The Company Men,10/21/2010,Drama,bobby walker live proverbial american dream great job beautiful family shiny porsche garage corporate downsizing leave coworker jobless man force redefine life man husband father,en,6.522,763,1.5994,44129
LOL (Laughing Out Loud),2/4/2009,Comedy,lola striking teenage girl cusp adulthood long rush adult world independence freedom sexual exploit tenaciously hold mother,fr,6.524,1319,0.9556,21861
U.S. Marshals,3/6/1998,"Thriller, Crime, Action",marshal sam gerard accompany plane load convict chicago new york plane crash spectacularly mark sheridan escape diplomatic security agent john royce assign help gerard recapture sheridan clear sheridan murderer,en,6.524,1671,3.6896,11808
Dragon Hunters,3/19/2008,"Animation, Family",dragon hunter fantastic tale tell adventure dragon hunter world vast conglomerate island vary size shape babbling universe mainly people ruthless rogue surly peasant illiterate petty lord main concern revolve fundamental rule eat eat,fr,6.524,455,1.1311,10800
Wanted,6/19/2008,"Action, Thriller, Crime",doormat wesley gibson office worker life go meet attractive woman name fox discover recently murder father wesley know belong fraternity secret society assassin take order fate fox sloan fraternity leader teach wesley intense training tap dormant power hone innate killing skill enjoy newfound ability begin suspect fraternity meet eye,en,6.524,7253,6.793,8909
The Cotton Club,12/14/1984,"Crime, Drama",harlem legendary cotton club hotbed passion violence life love entertainer gangster collide,en,6.5,418,1.5902,2148
The Return,9/7/2024,"History, Drama, Adventure",year away odysseus wash shore ithaca haggard unrecognizable king finally return home change kingdom leave fight trojan war,en,6.523,326,3.5676,975511
Puss in Boots: The Three Diablos,2/7/2012,"Adventure, Animation, Comedy, Family",puss boot mission recover princess steal ruby notorious french thief whisperer reluctantly accompany little kitten dialog puss tame endanger mission,en,6.5,496,3.5973,83201
Into the Night,2/22/1985,"Thriller, Comedy, Action, Crime, Drama, Romance",de skin boring life trouble get sleep night meet diana ed have trouble stay alive,en,6.523,307,1.1412,11338
Avalon,1/20/2001,"Action, Science Fiction",future world young people increasingly addict illegal potentially deadly battle simulation game call avalon ash star player hear rumour advanced level game exist give loner way join gang explorer find gateway level able come reality,pl,6.5,330,0.9303,10881
Thanksgiving,11/16/2023,"Horror, Mystery",black friday riot end tragedy mysterious thanksgiving inspire killer terrorize plymouth massachusetts birthplace holiday pick resident begin random revenge killing soon reveal large sinister holiday plan,en,6.521,1382,5.8182,1071215
Black Mass,9/17/2015,"Drama, Crime, History",true story whitey burger brother state senator infamous violent criminal history south boston fri informant mafia family invade turf,en,6.5,3430,2.8337,261023
The Double,4/3/2014,"Thriller, Drama",awkward office drone increasingly unhinge charismatic confident lookalike take job workplace seduce woman desire,en,6.522,1015,1.1493,146015
Restless,9/16/2011,"Drama, Romance",outsider shape circumstance bring forge deep lasting love,en,6.522,414,0.6828,47760
The Mechanic,1/13/2011,"Action, Thriller, Crime",arthur bishop mechanic elite assassin strict code require professional perfection total detachment elite group assassins bishop good business unique talent cleanly eliminate target harry mckee close friend mentor murder harry son come vengeance heart desire learn bishop trade signal birth deadly partnership,en,6.522,3374,5.8184,27582
Little Monsters,8/29/2019,"Horror, Comedy",wash musician team teacher kid personality protect young child sudden outbreak zombie,en,6.521,693,1.3176,503125
Detective Dee and the Mystery of the Phantom Flame,9/18/2010,"Action, Adventure, Drama, Mystery",future empress retain courtier die mysterious fire get rename detective rebel release prison solve mystery fire,zh,6.5,411,1.6263,48492
Kiss the Girls,9/29/1997,"Thriller, Crime, Mystery, Drama",forensic psychologist detective alex cross travel north carolina team escape kidnap victim kate metier hunt casanova serial killer abduct strong willed woman force submit demand trail lead los angeles duo discover psychopath work,en,6.5,1739,3.4102,9437
Pitch Perfect 3,12/20/2017,"Comedy, Music",high win world championship bell find split apart discover agent job prospect make music mouth chance reunite overseas tour group awesome nerd come music questionable decision time,en,6.52,3360,4.7862,353616
Return to Nim's Island,3/15/2013,"Family, Adventure",fourteen year old nim determined protect island wildlife home face resort developer animal poacher soon realize not depend animal cohort human friend edmund run away island mainland save home,en,6.52,636,0.5128,172386
The Amazing Spider-Man 2,4/16/2014,"Action, Adventure, Science Fiction",peter parker life busy take bad guy spider spend time person love gwen stacy high school graduation come quickly peter forget promise gene father protect stay away promise thing change peter new villain electro emerge old friend harry osborn return peter uncover new clue past,en,6.5,13638,11.2199,102382
Dragon Ball Z: The Tree of Might,6/7/1990,"Action, Animation, Science Fiction",roku friend stop band space pirate consume fruit tree destructive power drain earth energy,ja,6.5,590,3.819,39101
Blindness,5/14/2008,"Drama, Mystery, Science Fiction, Thriller",sudden plague blindness devastate city small group afflict band triumphantly overcome horrific condition impose quarantine,en,6.5,1299,1.5506,8338
